PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
26.0,5.0,9.0,18.0,0.5,1.0,6.0,0.167,7.0,9.0,0.778,6.0,0.592,33.9,0.528,103.0,127.0,17.7,-0.2,111.5
15.0,3.0,6.0,21.0,0.286,1.0,3.0,0.333,2.0,3.0,0.667,4.0,0.336,35.4,0.31,64.0,96.0,4.3,-6.9,111.9
40.0,3.0,14.0,25.0,0.56,0.0,2.0,0.0,12.0,15.0,0.8,2.0,0.633,41.4,0.56,130.0,114.0,33.7,13.6,120.0
26.0,2.0,8.0,13.0,0.615,1.0,3.0,0.333,9.0,9.0,1.0,3.0,0.767,34.1,0.654,134.0,110.0,21.5,6.6,117.7
31.0,3.0,12.0,17.0,0.706,2.0,4.0,0.5,5.0,7.0,0.714,2.0,0.772,28.4,0.765,135.0,132.0,23.9,5.5,114.0
25.0,4.0,9.0,15.0,0.6,1.0,2.0,0.5,6.0,9.0,0.667,5.0,0.659,33.7,0.633,110.0,112.0,17.0,1.0,112.2
33.0,5.0,8.0,21.0,0.381,1.0,4.0,0.25,16.0,16.0,1.0,3.0,0.588,37.4,0.405,131.0,103.0,27.7,12.6,113.0
26.0,2.0,9.0,18.0,0.5,0.0,3.0,0.0,8.0,10.0,0.8,8.0,0.58,40.6,0.5,86.0,98.0,12.2,-2.5,116.3
42.0,6.0,14.0,25.0,0.56,1.0,6.0,0.167,13.0,16.0,0.813,4.0,0.655,40.9,0.58,121.0,101.0,33.5,9.2,116.3
59.0,8.0,19.0,28.0,0.679,1.0,5.0,0.2,20.0,24.0,0.833,5.0,0.765,53.5,0.696,141.0,92.0,54.4,35.2,116.7
32.0,8.0,12.0,26.0,0.462,2.0,6.0,0.333,6.0,8.0,0.75,5.0,0.542,41.9,0.5,103.0,95.0,24.4,8.1,111.9
32.0,6.0,6.0,15.0,0.4,2.0,4.0,0.5,18.0,20.0,0.9,6.0,0.672,37.3,0.467,119.0,104.0,26.2,7.8,113.8
30.0,7.0,9.0,18.0,0.5,0.0,1.0,0.0,12.0,13.0,0.923,4.0,0.632,35.4,0.5,122.0,102.0,26.9,13.3,116.3
35.0,8.0,13.0,26.0,0.5,1.0,3.0,0.333,8.0,9.0,0.889,3.0,0.584,35.0,0.519,120.0,112.0,29.4,11.2,111.2
39.0,3.0,12.0,21.0,0.571,1.0,2.0,0.5,14.0,17.0,0.824,5.0,0.685,45.1,0.595,124.0,116.0,29.3,9.5,119.3
38.0,5.0,14.0,19.0,0.737,3.0,4.0,0.75,7.0,8.0,0.875,7.0,0.844,28.2,0.816,131.0,113.0,30.6,7.2,113.9
53.0,3.0,20.0,32.0,0.625,2.0,3.0,0.667,11.0,11.0,1.0,2.0,0.719,48.5,0.656,142.0,109.0,43.4,14.6,115.3
31.0,2.0,10.0,16.0,0.625,0.0,1.0,0.0,11.0,13.0,0.846,3.0,0.714,36.6,0.625,126.0,100.0,24.4,5.3,116.8
34.0,4.0,11.0,23.0,0.478,2.0,3.0,0.667,10.0,12.0,0.833,6.0,0.601,40.3,0.522,110.0,91.0,28.8,9.4,114.4
28.0,4.0,6.0,16.0,0.375,2.0,3.0,0.667,14.0,15.0,0.933,3.0,0.619,29.9,0.438,116.0,95.0,22.3,8.1,114.0
22.0,6.0,6.0,16.0,0.375,0.0,1.0,0.0,10.0,11.0,0.909,1.0,0.528,26.7,0.375,121.0,86.0,20.6,8.9,118.9
44.0,3.0,18.0,30.0,0.6,1.0,4.0,0.25,7.0,7.0,1.0,1.0,0.665,42.0,0.617,134.0,117.0,34.6,10.4,114.5
35.0,1.0,12.0,22.0,0.545,1.0,2.0,0.5,10.0,15.0,0.667,3.0,0.612,46.7,0.568,116.0,128.0,22.5,-2.6,114.8
48.0,1.0,17.0,32.0,0.531,1.0,5.0,0.2,13.0,14.0,0.929,3.0,0.629,49.2,0.547,127.0,110.0,37.4,15.8,115.6
37.0,5.0,14.0,22.0,0.636,1.0,2.0,0.5,8.0,10.0,0.8,5.0,0.701,43.0,0.659,120.0,126.0,27.4,4.5,112.5
16.0,10.0,6.0,17.0,0.353,0.0,3.0,0.0,4.0,6.0,0.667,4.0,0.407,33.4,0.353,95.0,80.0,16.0,10.0,114.2
42.0,5.0,15.0,24.0,0.625,2.0,3.0,0.667,10.0,10.0,1.0,4.0,0.739,40.3,0.667,134.0,111.0,34.5,14.0,112.5
36.0,1.0,12.0,20.0,0.6,1.0,3.0,0.333,11.0,11.0,1.0,3.0,0.725,46.5,0.625,137.0,103.0,28.8,6.7,118.9
30.0,2.0,10.0,17.0,0.588,0.0,1.0,0.0,10.0,10.0,1.0,3.0,0.701,36.4,0.588,128.0,125.0,23.0,8.1,114.2
30.0,2.0,9.0,18.0,0.5,2.0,3.0,0.667,10.0,13.0,0.769,2.0,0.632,32.0,0.556,123.0,121.0,22.3,4.5,116.7
35.0,4.0,12.0,21.0,0.571,2.0,5.0,0.4,9.0,12.0,0.75,1.0,0.666,35.6,0.619,130.0,113.0,29.9,11.9,113.9
41.0,3.0,12.0,22.0,0.545,2.0,5.0,0.4,15.0,18.0,0.833,5.0,0.685,49.4,0.591,127.0,117.0,30.8,5.6,114.5
32.0,2.0,12.0,22.0,0.545,1.0,3.0,0.333,7.0,7.0,1.0,2.0,0.638,38.7,0.568,120.0,93.0,25.0,10.4,118.8
26.0,3.0,6.0,18.0,0.333,1.0,5.0,0.2,13.0,13.0,1.0,2.0,0.548,33.3,0.361,125.0,137.0,20.1,-5.7,114.1
47.0,5.0,18.0,31.0,0.581,4.0,7.0,0.571,7.0,10.0,0.7,6.0,0.664,47.4,0.645,123.0,113.0,40.2,15.3,114.2
30.0,5.0,11.0,20.0,0.55,1.0,3.0,0.333,7.0,11.0,0.636,6.0,0.604,39.2,0.575,101.0,105.0,21.4,6.3,114.2
28.0,3.0,9.0,17.0,0.529,0.0,1.0,0.0,10.0,10.0,1.0,2.0,0.654,30.0,0.529,130.0,96.0,24.2,8.7,114.2
33.0,4.0,10.0,18.0,0.556,2.0,3.0,0.667,11.0,13.0,0.846,3.0,0.696,40.3,0.611,138.0,118.0,28.4,10.2,120.0
31.0,3.0,6.0,16.0,0.375,1.0,4.0,0.25,18.0,19.0,0.947,5.0,0.636,38.5,0.406,115.0,113.0,24.2,7.8,114.8
28.0,1.0,11.0,21.0,0.524,1.0,3.0,0.333,5.0,7.0,0.714,2.0,0.581,32.5,0.548,107.0,117.0,19.2,3.3,111.5
35.0,6.0,14.0,18.0,0.778,0.0,1.0,0.0,7.0,10.0,0.7,1.0,0.781,29.8,0.778,159.0,111.0,35.7,17.5,114.8
37.0,2.0,12.0,18.0,0.667,1.0,2.0,0.5,12.0,13.0,0.923,3.0,0.78,34.9,0.694,143.0,101.0,32.7,16.8,114.1
23.0,4.0,8.0,14.0,0.571,1.0,2.0,0.5,6.0,6.0,1.0,3.0,0.691,29.1,0.607,126.0,107.0,17.8,1.9,119.3
29.0,5.0,9.0,21.0,0.429,0.0,2.0,0.0,11.0,12.0,0.917,2.0,0.552,34.6,0.429,120.0,115.0,25.1,5.7,110.6
27.0,6.0,7.0,25.0,0.28,0.0,5.0,0.0,13.0,17.0,0.765,2.0,0.416,39.1,0.28,95.0,89.0,23.0,7.2,111.2
