Player,Position,Date,TM,OPP,PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
Paul George,Small,2023-10-25,LAC,POR,27.0,6.0,11.0,17.0,0.647,4.0,7.0,0.571,1.0,1.0,1.0,4.0,0.774,28.5,0.765,128.0,110.0,22.8,9.4,117.5
Paul George,Small,2023-10-27,LAC,UTA,36.0,1.0,9.0,17.0,0.529,3.0,9.0,0.333,15.0,15.0,1.0,2.0,0.763,31.5,0.618,149.0,132.0,27.6,4.4,120.4
Paul George,Small,2023-10-29,LAC,SAS,19.0,5.0,8.0,17.0,0.471,2.0,7.0,0.286,1.0,1.0,1.0,1.0,0.545,27.4,0.529,121.0,70.0,19.0,12.2,116.4
Paul George,Small,2023-10-31,LAC,ORL,27.0,7.0,8.0,17.0,0.471,6.0,9.0,0.667,5.0,6.0,0.833,3.0,0.687,28.8,0.647,129.0,98.0,23.5,13.7,111.3
Paul George,Small,2023-11-01,LAC,LAL,35.0,1.0,11.0,16.0,0.688,6.0,9.0,0.667,7.0,8.0,0.875,3.0,0.897,26.1,0.875,150.0,117.0,26.9,13.0,115.3
Paul George,Small,2023-11-06,LAC,NYK,10.0,3.0,2.0,11.0,0.182,1.0,6.0,0.167,5.0,5.0,1.0,4.0,0.379,23.5,0.227,71.0,108.0,5.5,-6.2,113.4
Paul George,Small,2023-11-08,LAC,BRK,24.0,1.0,7.0,20.0,0.35,2.0,10.0,0.2,8.0,8.0,1.0,3.0,0.51,29.1,0.4,98.0,100.0,15.9,1.8,116.1
Paul George,Small,2023-11-10,LAC,DAL,8.0,2.0,3.0,12.0,0.25,1.0,7.0,0.143,1.0,1.0,1.0,2.0,0.322,26.0,0.292,77.0,146.0,0.9,-15.8,115.4
Paul George,Small,2023-11-12,LAC,MEM,26.0,7.0,8.0,16.0,0.5,3.0,7.0,0.429,7.0,9.0,0.778,7.0,0.651,31.6,0.594,104.0,105.0,17.6,3.0,114.3
Paul George,Small,2023-11-14,LAC,DEN,35.0,3.0,13.0,26.0,0.5,4.0,11.0,0.364,5.0,5.0,1.0,1.0,0.621,32.6,0.577,132.0,117.0,26.6,10.3,113.0
Paul George,Small,2023-11-17,LAC,HOU,23.0,3.0,8.0,22.0,0.364,4.0,10.0,0.4,3.0,3.0,1.0,3.0,0.493,29.1,0.455,94.0,100.0,14.6,0.4,113.4
Paul George,Small,2023-11-20,LAC,SAS,28.0,6.0,11.0,16.0,0.688,4.0,8.0,0.5,2.0,2.0,1.0,2.0,0.829,25.2,0.813,147.0,104.0,25.5,13.3,116.4
Paul George,Small,2023-11-22,LAC,SAS,24.0,3.0,8.0,23.0,0.348,4.0,12.0,0.333,4.0,4.0,1.0,2.0,0.485,31.3,0.435,98.0,100.0,14.8,0.4,116.4
Paul George,Small,2023-11-24,LAC,NOP,34.0,2.0,14.0,30.0,0.467,4.0,12.0,0.333,2.0,3.0,0.667,2.0,0.543,37.5,0.533,101.0,121.0,19.2,-0.5,112.9
Paul George,Small,2023-11-25,LAC,DAL,25.0,4.0,9.0,19.0,0.474,2.0,5.0,0.4,5.0,5.0,1.0,1.0,0.59,25.8,0.526,133.0,96.0,18.6,7.1,115.4
Paul George,Small,2023-11-27,LAC,DEN,6.0,4.0,2.0,13.0,0.154,0.0,4.0,0.0,2.0,2.0,1.0,3.0,0.216,19.5,0.154,63.0,118.0,0.8,-12.7,113.0
Paul George,Small,2023-11-29,LAC,SAC,19.0,7.0,7.0,18.0,0.389,4.0,9.0,0.444,1.0,2.0,0.5,1.0,0.503,22.4,0.5,111.0,128.0,13.2,-2.7,115.2
Paul George,Small,2023-12-02,LAC,GSW,25.0,6.0,8.0,17.0,0.471,4.0,8.0,0.5,5.0,5.0,1.0,1.0,0.651,23.8,0.588,129.0,112.0,20.3,5.9,115.2
Paul George,Small,2023-12-06,LAC,DEN,25.0,1.0,8.0,20.0,0.4,5.0,9.0,0.556,4.0,4.0,1.0,2.0,0.574,27.4,0.525,115.0,111.0,16.0,1.8,113.0
Paul George,Small,2023-12-08,LAC,UTA,20.0,2.0,8.0,13.0,0.615,2.0,5.0,0.4,2.0,3.0,0.667,1.0,0.698,18.0,0.692,135.0,96.0,20.9,10.4,120.4
Paul George,Small,2023-12-11,LAC,POR,20.0,8.0,7.0,17.0,0.412,2.0,8.0,0.25,4.0,4.0,1.0,1.0,0.533,21.3,0.471,132.0,133.0,19.2,-2.2,117.5
Paul George,Small,2023-12-12,LAC,SAC,9.0,1.0,3.0,7.0,0.429,2.0,5.0,0.4,1.0,1.0,1.0,3.0,0.605,29.2,0.571,86.0,85.0,6.8,3.8,115.2
Paul George,Small,2023-12-18,LAC,IND,27.0,4.0,9.0,21.0,0.429,5.0,11.0,0.455,4.0,4.0,1.0,1.0,0.593,30.4,0.548,139.0,125.0,19.1,1.8,118.0
Paul George,Small,2023-12-21,LAC,OKC,22.0,4.0,7.0,14.0,0.5,5.0,8.0,0.625,3.0,3.0,1.0,1.0,0.718,24.0,0.679,147.0,135.0,18.1,8.6,112.1
Paul George,Small,2023-12-29,LAC,MEM,23.0,3.0,8.0,21.0,0.381,2.0,8.0,0.25,5.0,6.0,0.833,4.0,0.486,32.3,0.429,94.0,104.0,10.3,-6.8,114.3
Paul George,Small,2024-01-01,LAC,MIA,23.0,2.0,7.0,14.0,0.5,3.0,8.0,0.375,6.0,6.0,1.0,3.0,0.691,27.6,0.607,122.0,116.0,14.7,-2.3,112.2
Paul George,Small,2024-01-03,LAC,PHO,33.0,3.0,8.0,14.0,0.571,5.0,10.0,0.5,12.0,14.0,0.857,1.0,0.818,27.0,0.75,171.0,130.0,30.4,10.4,114.6
Paul George,Small,2024-01-07,LAC,LAL,22.0,3.0,8.0,18.0,0.444,4.0,11.0,0.364,2.0,2.0,1.0,3.0,0.583,24.1,0.556,108.0,101.0,17.0,7.9,115.3
Paul George,Small,2024-01-08,LAC,PHO,25.0,0.0,10.0,19.0,0.526,4.0,9.0,0.444,1.0,2.0,0.5,1.0,0.629,29.9,0.632,127.0,118.0,17.0,-2.7,114.6
Paul George,Small,2024-01-12,LAC,MEM,37.0,1.0,12.0,18.0,0.667,7.0,10.0,0.7,6.0,6.0,1.0,4.0,0.896,31.1,0.861,147.0,126.0,27.6,10.8,114.3
Paul George,Small,2024-01-14,LAC,MIN,16.0,3.0,5.0,19.0,0.263,4.0,13.0,0.308,2.0,2.0,1.0,1.0,0.402,23.3,0.368,84.0,125.0,6.2,-8.9,109.0
Paul George,Small,2024-01-16,LAC,OKC,38.0,5.0,15.0,24.0,0.625,6.0,12.0,0.5,2.0,4.0,0.5,0.0,0.738,33.8,0.75,156.0,120.0,34.2,19.2,112.1
Paul George,Small,2024-01-26,LAC,TOR,21.0,1.0,6.0,15.0,0.4,3.0,9.0,0.333,6.0,7.0,0.857,2.0,0.581,29.5,0.5,112.0,107.0,14.2,2.4,118.8
Paul George,Small,2024-01-27,LAC,BOS,17.0,1.0,5.0,11.0,0.455,3.0,6.0,0.5,4.0,4.0,1.0,1.0,0.666,25.1,0.591,133.0,92.0,14.4,11.2,111.6
Paul George,Small,2024-01-29,LAC,CLE,13.0,3.0,3.0,11.0,0.273,0.0,5.0,0.0,7.0,8.0,0.875,2.0,0.448,28.0,0.273,94.0,115.0,8.4,-5.5,112.7
Paul George,Small,2024-02-04,LAC,MIA,15.0,4.0,3.0,13.0,0.231,3.0,10.0,0.3,6.0,6.0,1.0,4.0,0.48,28.2,0.346,90.0,101.0,8.9,-2.9,112.2
